datetime,open,high,low,close,volume,openinterest
2022-01-24 7:00,1835.17,1835.595,1833.2,1833.43,-1,-1
2022-01-24 7:01,1833.43,1833.43,1832.425,1832.53,-1,-1
2022-01-24 7:02,1832.53,1832.56,1831.805,1832.005,-1,-1
2022-01-24 7:03,1832.005,1833.225,1832.005,1833.205,-1,-1
2022-01-24 7:04,1833.205,1833.335,1832.77,1833.045,-1,-1
2022-01-24 7:05,1833.045,1833.68,1832.98,1833.68,-1,-1
2022-01-24 7:06,1833.68,1834.065,1833.665,1833.965,-1,-1
2022-01-24 7:07,1833.965,1833.98,1833.735,1833.795,-1,-1
2022-01-24 7:08,1833.795,1833.9,1833.75,1833.89,-1,-1
2022-01-24 7:09,1833.89,1833.895,1833.62,1833.855,-1,-1
