Date,Open,High,Low,Close,Volume
20221209  07:00:00,1789.255,1790.185,1789.145,1789.385,-1
20221209  08:00:00,1789.385,1790.415,1788.575,1790.38,-1
20221209  09:00:00,1790.38,1795.825,1789.94,1794.3,-1
20221209  10:00:00,1794.3,1794.685,1792.125,1793.345,-1
20221209  11:00:00,1793.345,1795.61,1793.165,1795.27,-1
20221209  12:00:00,1795.27,1797.585,1795.27,1796.605,-1
20221209  13:00:00,1796.605,1797.82,1795.065,1795.2,-1
20221209  14:00:00,1795.2,1796.35,1793.805,1795.77,-1
20221209  15:00:00,1795.77,1797.045,1791.08,1792.89,-1
20221209  16:00:00,1792.89,1792.94,1790.82,1791.225,-1
